KODE_WILAYAH,KECAMATAN,TAHUN,SATUAN,KOMODITAS,JUMLAH
36.03.01, BALARAJA,2023,Ton,PADI,9685
36.03.01, BALARAJA,2023,Ton,JAGUNG,0
36.03.01, BALARAJA,2023,Ton,KEDELAI,0
36.03.01, BALARAJA,2023,Ton,UBI KAYU,40.3
36.03.01, BALARAJA,2023,Ton,UBI JALAR,60.41
36.03.01, BALARAJA,2023,Ton,KACANG HIJAU,0
36.03.01, BALARAJA,2023,Ton,KACANG TANAH,0
36.03.02, JAYANTI,2023,Ton,PADI,11486
36.03.02, JAYANTI,2023,Ton,JAGUNG,0
36.03.02, JAYANTI,2023,Ton,KEDELAI,0
36.03.02, JAYANTI,2023,Ton,UBI KAYU,26.63
36.03.02, JAYANTI,2023,Ton,UBI JALAR,0
36.03.02, JAYANTI,2023,Ton,KACANG HIJAU,0
36.03.02, JAYANTI,2023,Ton,KACANG TANAH,0
36.03.03, TIGARAKSA,2023,Ton,PADI,6461
36.03.03, TIGARAKSA,2023,Ton,JAGUNG,34.14
36.03.03, TIGARAKSA,2023,Ton,KEDELAI,0
36.03.03, TIGARAKSA,2023,Ton,UBI KAYU,53.34
36.03.03, TIGARAKSA,2023,Ton,UBI JALAR,30.37
36.03.03, TIGARAKSA,2023,Ton,KACANG HIJAU,0
36.03.03, TIGARAKSA,2023,Ton,KACANG TANAH,1.82
36.03.04, JAMBE,2023,Ton,PADI,6431
36.03.04, JAMBE,2023,Ton,JAGUNG,0
36.03.04, JAMBE,2023,Ton,KEDELAI,0
36.03.04, JAMBE,2023,Ton,UBI KAYU,52.81
36.03.04, JAMBE,2023,Ton,UBI JALAR,20.21
36.03.04, JAMBE,2023,Ton,KACANG HIJAU,0
36.03.04, JAMBE,2023,Ton,KACANG TANAH,5.65
36.03.05, CISOKA,2023,Ton,PADI,11384
36.03.05, CISOKA,2023,Ton,JAGUNG,64.17
36.03.05, CISOKA,2023,Ton,KEDELAI,0
36.03.05, CISOKA,2023,Ton,UBI KAYU,26.66
36.03.05, CISOKA,2023,Ton,UBI JALAR,20.24
36.03.05, CISOKA,2023,Ton,KACANG HIJAU,0
36.03.05, CISOKA,2023,Ton,KACANG TANAH,24.13
36.03.06, KRESEK,2023,Ton,PADI,17370
36.03.06, KRESEK,2023,Ton,JAGUNG,0
36.03.06, KRESEK,2023,Ton,KEDELAI,0
36.03.06, KRESEK,2023,Ton,UBI KAYU,0
36.03.06, KRESEK,2023,Ton,UBI JALAR,0
36.03.06, KRESEK,2023,Ton,KACANG HIJAU,0
36.03.06, KRESEK,2023,Ton,KACANG TANAH,0
36.03.07, KRONJO,2023,Ton,PADI,17964
36.03.07, KRONJO,2023,Ton,JAGUNG,52.8
36.03.07, KRONJO,2023,Ton,KEDELAI,0
36.03.07, KRONJO,2023,Ton,UBI KAYU,0
36.03.07, KRONJO,2023,Ton,UBI JALAR,0
36.03.07, KRONJO,2023,Ton,KACANG HIJAU,0
36.03.07, KRONJO,2023,Ton,KACANG TANAH,0
36.03.08, M A U K,2023,Ton,PADI,22083
